0整租 | 杉板桥 东城映象 1室1厅1室1厅1卫 52m²杉板桥 东城映象 距离2号线牛王庙地铁站4415米来自品牌公寓 同创公寓----今天1650元/月
1合租 | 大源村 保利香雪 4室次卧4室1厅2卫 11m²大源村 保利香雪 距离1号线天府三街地铁站2309米来自品牌公寓 蜂巢小筑----今天750元/月
2合租 | 大源村 保利心语3期 4室次卧4室1厅2卫 15m²大源村 保利心语3期 距离1号线天府三街地铁站2500米来自品牌公寓 蜜柚公寓----今天830元/月
3合租 | 华阳 金茂光明城市 5室次卧5室1厅2卫 15m²华阳 金茂光明城市 距离1号线华府大道地铁站2194米来自品牌公寓 爱房公寓----今天800元/月
4合租 | 驷马桥 沙河路苑 4室次卧4室1厅1卫 15m²驷马桥 沙河路苑 距离1号线升仙湖地铁站767米来自品牌公寓 同创公寓----今天700元/月
5整租 | 三圣乡 锦江逸家 5室1厅5室1厅2卫 100m²三圣乡 锦江逸家 距离2号线惠王陵地铁站1701米来自品牌公寓 蜂巢小筑----今天3000元/月
6单间 | 押一付一 无中介 家电齐全 次卧 \( 3室 \) 20㎡ 蛟龙港 海港广场 来自经纪人： 北京市天地昊房地产经纪有限公司成都分公司 - 蛟龙店 曾棠 曾棠 1年 北京市天 58同城认证商家----04-07 500元/月
7整租 | 成都花园房东自住装修家具电齐户型方正采光好看房方便可 3室2厅2卫 144㎡ 西南财大区 成都花园距离2号线白果林地铁站3070米 来自经纪人： 成都蓉顺房地产经纪有限公司 - 光华店 周李纯 周李纯 1年 成都蓉顺 58同城认证商家----今天 3400元/月
8整租 | 美丽寓 高新1号线天府三街地铁口 软件园区 新希望 2室1厅1卫 63㎡ 南延线 大有智慧距离1号线天府三街地铁站801米 来自经纪人： 美丽屋房地产 - 第三运营1部 吕明 吕明 1年 美丽屋房 58同城认证商家----今天 2600元/月
9整租 | 地铁口的精装空房 可配 自住房 装修好 新电梯公寓 2室2厅1卫 80㎡ 府青路 嘉通·云尚距离2号线春熙路地铁站2547米 来自经纪人： 何明蓉 何明蓉 1年 58同城认证商家----今天 2500元/月
10整租 | 金牛沙河源泉水南苑 3室1厅 中等装修 押一付三 3室1厅1卫 90㎡ 沙河源 泉水南苑距离1号线升仙湖地铁站2842米 来自个人房源：陈女士今天 1500元/月
11整租 | 锦城逸景 1室1厅1卫 1室1厅1卫 49㎡ 琉璃厂 锦城逸景 来自个人房源：李姐----今天 1300元/月
12整租 | 金牛区 北门大桥 北极星花园 1室1厅1卫 42㎡ 人民北路 北极星花园距离1号线人民北路地铁站994米 来自经纪人： 成都大当家房地产有限公司 董百元 董百元 1年 成都大当 58同城认证商家----今天 1850元/月
13整租 | 文殊院草市街精装房，安静不临街，房子温馨舒适 1室0厅1卫 46㎡ 草市街 时代印象 来自经纪人： 罗成 罗成 2年 58同城认证商家----今天 1600元/月
14整租 | 地铁口附近 百货大楼附近 2室2厅1卫 70㎡ 商业片区 农行宿舍（新驿南街） 来自经纪人： 永好房产 - 长柏分行 蔡兴月 蔡兴月 1年 永好房产 58同城认证商家----今天 850元/月
15整租 | 家乐福 泛悦国际 精装套三 配置齐全 随时入住 3室2厅2卫 88㎡ 科华路 泛悦国际距离1号线桐梓林地铁站1165米 来自经纪人： 王珺 王珺 1年 58同城认证商家----今天 3500元/月
16单间 | 单间出租600元位置在416对面 次卧 \( 4室以上 \) 18㎡ 李家沱 汇融名城水畔经典 来自经纪人： 汤钟忠 汤钟忠 1年 58同城认证商家----今天 600元/月
17单间 | 蔚蓝花城 精装套二 可以拎包入住 交通购物方便 主卧 \( 2室 \) 80㎡ 总站片区 蔚蓝花城a区 来自经纪人： 成都玛雅嘉府房地产经纪有限公司 - 东山国际店 向娟 向娟 2年 成都玛雅 58同城认证商家----今天 1300元/月
