位置: 数量
中国: 5152
香港: 2
济南: 113
阜新: 69
玉林: 107
岳阳: 53
滁州: 196
镇江: 10
永靖县刘家峡水电厂: 1
张家口: 16
河源: 4
崇左: 4
遵义: 87
榆林: 52
郑州: 251
对方和您在同一内部网: 334
朝阳: 37
大庆: 84
(黄浦卢湾区)电信: 1
昌吉州昌吉: 1
张掖市电信: 5
(南城区)电信: 1
阳泉: 19
承德: 38
济宁: 17
西宁: 9
烟台: 40
铜陵: 17
呼伦贝尔: 25
渭南: 75
辽宁: 488
阜阳: 37
盘锦: 2
海南: 32
咸阳: 78
苏州: 128
杭州: 87
白山: 30
丹东: 5
宝鸡: 130
周口: 15
武汉: 83
池州: 5
洛阳: 35
乌鲁木齐: 34
安阳: 24
湛江: 22
厦门: 64
贺州: 68
通化: 53
三亚: 5
淮北: 10
儋州: 1
广安: 59
上海: 62
通辽: 65
越南: 4
牡丹江易联网络科技服务有限公司联通数据中心: 1
电信数据中心: 8
白云区电信: 1
黑龙江: 3266
铁岭: 10
咸宁: 4
潮州: 3
柳州: 64
西双版纳州景洪: 6
鹤壁: 9
福建: 306
锡林郭勒盟联通: 1
沈阳广电电信合作宽带: 2
江津区: 34
大同同煤集团有限公司: 2
曲靖: 12
齐齐哈尔: 327
辽阳: 8
河北: 724
南通: 23
电信NAT444防火墙测试: 29
中国联通骨干节点: 22
安岳实验中学: 5
濮阳: 18
台州: 11
保定: 124
青岛: 68
乌兰察布: 2
淄博: 3
抚顺: 13
韶关: 28
黑河: 119
石家庄: 134
湖南: 206
漯河: 15
梧州: 32
巴音郭楞州库尔勒: 4
北龙中网(北京)科技有限公司: 5
邢台: 28
宿迁: 1
福州: 66
景德镇: 91
安顺: 56
淮南: 11
兰州: 1004
衢州: 1
滨州: 48
电信: 13350
营口: 13
天津: 38
威海: 5
普洱: 4
成都: 764
德阳: 81
电信互联网数据中心: 1
贵港: 225
昭通: 2
邯郸: 50
新乡: 52
潍坊: 87
庆阳: 25
湖州: 6
临沂: 92
连云港: 18
贵阳: 487
阳江: 20
三门峡: 23
新疆广电网络(移动出口): 2
眉山: 24
克拉玛依: 3
沈阳: 177
有线宽带(联通出口): 1
(仁寿眉山夹江峨眉): 25
马鞍山: 92
网宿科技电信CDN节点: 1
宁波: 13
牡丹江: 126
广电网: 32
铁通: 16
佳木斯: 183
清远: 3
宜昌: 12
黄山: 9
江门: 20
伊春: 35
广西: 1303
日照: 17
巴彦淖尔: 3
凉山州西昌: 2
襄阳: 21
日本: 1
渝中区: 23
达州: 9
教育网: 11
电信IDC机房: 23
泰州: 7
黔东南州凯里: 43
雅安: 11
哈尔滨工业大学: 2
赤峰: 71
安徽: 657
舟山: 1
本溪: 14
电信CDMALTE全省共用出口: 8
聊城: 37
吕梁市联通: 18
宜宾: 36
包头: 7
石河子: 6
武威: 1059
凯迪网吧火凤凰基地网络(商学院兰益村): 2
徐汇区: 10
郑州铁路局小区: 9
徐州: 13
移动GSMTD-SCDMALTE全省共用出口: 1213
上饶: 18
平顶山: 21
南京: 144
江苏: 569
哈尔滨: 1603
荆州: 19
云浮: 2
大庆中基石油通信建设有限公司: 1
山东: 911
佛山: 531
光明新区公共事业局教育科: 2
开封: 32
酒泉: 59
攀枝花: 19
八度网络BGP数据中心: 11
创世纪网吧: 1
联通: 6029
十堰: 5
航天信息网: 3
资阳: 25
中国: 24877
呼和浩特: 83
优位风尚(北京)信息技术有限公司联通节点: 24
伊犁州伊宁: 1
揭阳: 1
南阳: 56
朔州: 8
三明: 12
许昌: 34
东莞: 164
益阳: 5
电信(全省通用): 24
嘉兴: 15
内蒙古: 460
阿里云BGP数据中心: 2
云南: 168
七台河: 85
菏泽: 26
九州太酒店: 1
河南: 714
新疆: 97
汕头: 8
延安: 3
合肥: 104
茂名: 31
中卫: 4
甘肃: 4157
西藏: 34
常州: 20
局域网: 334
永州: 11
网宿科技移动CDN节点: 14
唐山: 50
泸州: 102
盐城: 101
株洲: 5
孝感: 21
海淀区: 46
商丘: 29
亳州: 5
(高水片区)电信: 3
闵行区: 5
北京宽捷网络信息技术有限公司: 2
长沙: 24
拉萨: 16
重庆: 553
北京亿安天下网络科技有限公司北京电信互联网数据中心节点: 1
锡林郭勒盟锡林浩特: 4
石嘴山: 1
陕西: 1232
广元: 11
延边州延吉: 5
湖北: 237
六盘水: 23
东城区: 4
新余: 2
鹤岗: 86
移动LTE网络出口: 5
贵州: 1082
96163: 3
仁怀: 44
双鸭山: 93
电信CDMALTE共用出口: 3
仙桃: 2
乌海: 1
郴州: 2
汉中: 52
松原: 64
莆田: 19
河北区: 3
天门: 3
黄冈: 4
漳州: 16
德州: 55
焦作: 17
华通宽带: 1
青海: 17
联通3G统一出口: 2
材治网吧: 1
秦皇岛: 54
指间缘网络世界: 2
北京纬信无线技术有限公司: 24
白城: 44
定西: 11
江西: 576
芜湖: 20
吴忠: 1
广州: 198
黔南州都匀: 18
惠州: 39
葫芦岛: 15
东南大学九龙湖校区宿舍宽带(研): 5
宿州: 16
邵阳: 3
电信城域网(运营商级NAT出口): 52
晋中: 174
泰安: 40
联通机房: 1
徐汇区电信: 1
怒江移动IDC机房: 2
联通数据中心: 17
吕梁: 42
临汾: 60
忻州: 111
北京北方星辰信息技术有限责任公司铁通数据中心: 16
鹏博士长城宽带: 1
白银: 236
温州: 8
晋城: 42
(乐至县简阳市)电信: 1
大连: 50
绍兴: 22
湘潭: 7
北京: 574
移动: 3685
萍乡: 242
自贡: 35
昆明: 99
移动(全省通用): 22
北海: 19
中山: 28
朝阳区北京NBLLNET有限公司: 1
宜春: 13
乐山: 301
黔西南州兴义: 42
四平: 107
名硕电脑(苏州)有限公司: 1
联通GSMWCDMALTE共用出口: 1
泉州: 32
广东: 1355
丽水: 2
大同: 21
歌华有线: 1
枣庄: 29
临夏州临夏: 4
