龙湖弗莱明戈一期,8265.2,1142,804,10379,34,2012,70,郫县城区
南阳锦城香樟阁,380.0,0,26,6034,11,2008,4,东升镇
通用时代,192.0,0,4,24616,33,2015,1,攀成钢
幸福时光,1140.6,140,349,8424,11,2003,24,丽都
大王钰城小区,134.0,5,6,10861,,2014,2,红星路
玉通巷5号,122.0,11,24,7423,7,1997,1,玉林
督院府邸,603.0,11,33,23775,9,2000,2,盐市口
世茂玉锦湾,5330.0,838,702,13288,53,2015,34,猛追湾
海会花园,350.0,10,4,11046,8,2001,2,川音
中铁瑞景茗城二期,1771.8,406,522,5693,31,,40,郫县城区
雅典国际社区,1115.0,42,38,16745,26,2002,4,川音
东方明珠花园西区,758.0,62,52,11945,6,2005,4,八里小区
华润幸福里一期,1535.0,74,36,21610,10,2014,4,川师
中央花园四期,470.0,42,107,6762,7,1999,5,五大花园
玉锦苑,106.0,10,30,16775,6,2006,1,红星路
香月楠岸,704.0,129,172,10978,21,2009,8,双楠
常青藤二期,106.0,60,46,6675,26,2012,2,大丰
翡翠城四期,8873.5,450,400,13879,32,2009,55,东湖
香澜半岛,1510.0,276,474,10787,21,2016,18,驷马桥
福祥家园瑞福苑,160.0,64,46,8938,6,2009,4,茶店子
沙河路苑,272.0,78,116,8462,18,2011,4,驷马桥
宝泰家园,196.0,18,4,11065,27,2011,2,八里小区
润雅宜园,66.0,0,12,3785,6,2012,2,郫县城区
三友小区,494.0,8,20,7767,7,1999,6,西南交大
保利康桥,6276.0,854,224,19995,16,2014,30,东郊记忆
合江苑,41.0,0,2,4991,6,,1,温江老城
中铁玛赛城,592.0,50,222,12238,33,2015,8,八里小区
上东吉座,182.0,17,12,14797,7,,1,合江亭
陶然村紫云轩,184.0,4,26,4163,5,2002,2,龙泉驿城区
龙湖铜雀台,4110.0,366,200,19813,7,2010,10,SM广场
九形道,1154.0,98,42,7355,27,2012,18,大丰
中德英伦联邦A区,13698.0,872,1258,17308,33,2013,84,中德
上东阳光林曦,2981.0,316,504,7775,5,2007,30,洪河
超洋路36号,68.0,7,69,8920,7,2000,1,衣冠庙
华侨城天鹅堡,7195.0,204,130,14349,,2012,28,华侨城
香都美地,220.0,8,12,9167,6,2003,2,花照壁
蓝光富丽城,822.0,30,80,8545,18,2005,10,金牛万达
鹃城雅舍,159.6,0,22,3302,6,2007,2,郫县城区
洗面桥街27号,160.0,3,20,9398,7,,2,华西
金辉悦府,140.0,12,16,7107,18,2015,2,犀浦
惠民苑,130.0,6,8,8426,7,2000,2,蜀汉路
平景苑东区,454.0,96,50,8826,7,2000,6,李家沱
东山国际新城H区二期,5209.6,752,594,7924,24,2015,62,东山
龙门镇二期,1590.0,186,74,13956,32,2013,14,沙湾
协力苑,349.0,39,99,8105,11,2000,3,红牌楼
工农院街141号,121.0,0,7,8289,7,1995,1,莲花
金泉阳光雅新苑,96.0,0,8,9149,6,2009,2,高家庄
海骏达蜀都1号一期南区,362.0,86,52,7056,26,2013,6,郫县城区
上行锦绣,1403.0,320,770,9738,21,2010,20,驷马桥
人民法院宿舍,160.0,0,8,4689,6,,2,龙泉驿城区
中海翠屏湾,8658.0,490,2744,13665,18,2009,76,城南宜家
尖东旺座一期,425.0,97,216,8752,17,2004,6,水碾河
阳光花园,547.0,37,167,11793,6,2003,7,航空路
华侨城纯水岸三期,1576.0,402,250,14060,33,2013,14,华侨城
西延锦绣,1282.0,192,62,11093,6,2003,8,茶店子
新桥丽景B区,182.0,6,4,7762,6,2004,2,五块石
荣盛香榭兰庭,608.0,74,220,11211,29,2015,8,东客站
